nombre,provincia_nombre,pais,lugar_osm 
El Perdido,Buenos Aires,Argentina,"El Perdido, Buenos Aires, Argentina"
Faro,Buenos Aires,Argentina,"Faro, Buenos Aires, Argentina"
Irene,Buenos Aires,Argentina,"Irene, Buenos Aires, Argentina"
Oriente,Buenos Aires,Argentina,"Oriente, Buenos Aires, Argentina"
Paraje La Ruta,Buenos Aires,Argentina,"Paraje La Ruta, Buenos Aires, Argentina"
San Román,Buenos Aires,Argentina,"San Román, Buenos Aires, Argentina"
Coronel Pringles,Buenos Aires,Argentina,"Coronel Pringles, Buenos Aires, Argentina"
El Divisorio,Buenos Aires,Argentina,"El Divisorio, Buenos Aires, Argentina"
El Pensamiento,Buenos Aires,Argentina,"El Pensamiento, Buenos Aires, Argentina"
Indio Rico,Buenos Aires,Argentina,"Indio Rico, Buenos Aires, Argentina"
Lartigau,Buenos Aires,Argentina,"Lartigau, Buenos Aires, Argentina"
Cascada,Buenos Aires,Argentina,"Cascada, Buenos Aires, Argentina"
Coronel Suárez,Buenos Aires,Argentina,"Coronel Suárez, Buenos Aires, Argentina"
Curamalal,Buenos Aires,Argentina,"Curamalal, Buenos Aires, Argentina"
D'Orbigny,Buenos Aires,Argentina,"D'Orbigny, Buenos Aires, Argentina"
Huanguelén,Buenos Aires,Argentina,"Huanguelén, Buenos Aires, Argentina"
Pasman,Buenos Aires,Argentina,"Pasman, Buenos Aires, Argentina"
San José,Buenos Aires,Argentina,"San José, Buenos Aires, Argentina"
Santa María,Buenos Aires,Argentina,"Santa María, Buenos Aires, Argentina"
Santa Trinidad,Buenos Aires,Argentina,"Santa Trinidad, Buenos Aires, Argentina"
Villa La Arcadia,Buenos Aires,Argentina,"Villa La Arcadia, Buenos Aires, Argentina"
Castilla,Buenos Aires,Argentina,"Castilla, Buenos Aires, Argentina"
Chacabuco,Buenos Aires,Argentina,"Chacabuco, Buenos Aires, Argentina"
Los Ángeles,Buenos Aires,Argentina,"Los Ángeles, Buenos Aires, Argentina"
O'Higgins,Buenos Aires,Argentina,"O'Higgins, Buenos Aires, Argentina"
Rawson,Buenos Aires,Argentina,"Rawson, Buenos Aires, Argentina"
Barrio Lomas Altas,Buenos Aires,Argentina,"Barrio Lomas Altas, Buenos Aires, Argentina"
Chascomús,Buenos Aires,Argentina,"Chascomús, Buenos Aires, Argentina"
Laguna Vitel,Buenos Aires,Argentina,"Laguna Vitel, Buenos Aires, Argentina"
Villa Parque Girado,Buenos Aires,Argentina,"Villa Parque Girado, Buenos Aires, Argentina"
Benítez,Buenos Aires,Argentina,"Benítez, Buenos Aires, Argentina"
Chivilcoy,Buenos Aires,Argentina,"Chivilcoy, Buenos Aires, Argentina"
Emilio Ayarza,Buenos Aires,Argentina,"Emilio Ayarza, Buenos Aires, Argentina"
Gorostiaga,Buenos Aires,Argentina,"Gorostiaga, Buenos Aires, Argentina"
